Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A semantic ontology infused deep learning model for disaster tweet classification","Multimedia Tools and Applications","","83","22","10.1007/s11042-023-16840-6","Karnati Sai Venkata GiriGerard Deepak","2024","http://link.springer.com/article/10.1007/s11042-023-16840-6","Article"
"Cognitive differences in product shape evaluation between real settings and virtual reality: case study of two-wheel electric vehicles","Virtual Reality","","28","3","10.1007/s10055-024-01034-8","Zhengjie DuanJiajun ZhouFangzhou Gu","2024","http://link.springer.com/article/10.1007/s10055-024-01034-8","Article"
"Deep learning-based collaborative filtering recommender systems: a comprehensive and systematic review","Neural Computing and Applications","","35","35","10.1007/s00521-023-08958-3","Atena TorkashvandSeyed Mahdi JameiiAkram Reza","2023","http://link.springer.com/article/10.1007/s00521-023-08958-3","Article"
"A review of platforms for simulating embodied agents in 3D virtual environments","Artificial Intelligence Review","","56","4","10.1007/s10462-022-10253-x","Deepti Prit KaurNarinder Pal SinghBonny Banerjee","2023","http://link.springer.com/article/10.1007/s10462-022-10253-x","Article"
"Defense against adversarial attacks via textual embeddings based on semantic associative field","Neural Computing and Applications","","36","1","10.1007/s00521-023-08946-7","Jiacheng HuangLong Chen","2024","http://link.springer.com/article/10.1007/s00521-023-08946-7","Article"
"Light-Deeplabv3+: a lightweight real-time semantic segmentation method for complex environment perception","Journal of Real-Time Image Processing","","21","1","10.1007/s11554-023-01380-x","Peng DingHuaming Qian","2023","http://link.springer.com/article/10.1007/s11554-023-01380-x","Article"
"Toward Human-centered XAI in Practice: A survey","Machine Intelligence Research","","21","4","10.1007/s11633-022-1407-3","Xiangwei KongShujie LiuLuhao Zhu","2024","http://link.springer.com/article/10.1007/s11633-022-1407-3","Article"
"A systematic review of integrated information theory: a perspective from artificial intelligence and the cognitive sciences","Neural Computing and Applications","","","","10.1007/s00521-023-08328-z","Luz Enith GuerreroLuis Fernando CastilloJeferson Arango-LópezFernando Moreira","2023","http://link.springer.com/article/10.1007/s00521-023-08328-z","Article"
"A combined approach for improving humanoid robots autonomous cognitive capabilities","Knowledge and Information Systems","","65","8","10.1007/s10115-023-01844-3","Kurosh MadaniAntonio M. RinaldiCristiano RussoCristian Tommasino","2023","http://link.springer.com/article/10.1007/s10115-023-01844-3","Article"
"Trustworthy artificial intelligence in Alzheimer’s disease: state of the art, opportunities, and challenges","Artificial Intelligence Review","","56","10","10.1007/s10462-023-10415-5","Shaker El-SappaghJose M. Alonso-MoralTamer AbuhmedFarman AliAlberto Bugarín-Diz","2023","http://link.springer.com/article/10.1007/s10462-023-10415-5","Article"
