Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multiple intelligence theory, knowledge identification and trust","Knowledge Management Research & Practice","","4","3","10.1057/palgrave.kmrp.8500101","Joyce Martin","2006","http://link.springer.com/article/10.1057/palgrave.kmrp.8500101","Article"
"The Validity of a New, Self-report Measure of Multiple Intelligence","Current Psychology","","28","4","10.1007/s12144-009-9064-z","Adrian Furnham","2009","http://link.springer.com/article/10.1007/s12144-009-9064-z","Article"
"WICS: A Model of Positive Educational Leadership Comprising Wisdom, Intelligence, and Creativity Synthesized","Educational Psychology Review","","17","3","10.1007/s10648-005-5617-2","Robert J. Sternberg","2005","http://link.springer.com/article/10.1007/s10648-005-5617-2","Article"
"Implementing Multiple Intelligences Theory in a Grade 9 Science Classroom: The Experiences of a High School Teacher","Canadian Journal of Science, Mathematics and Technology Education","","1","4","10.1080/14926150109556483","Karen Goodnough","2001","http://link.springer.com/article/10.1080/14926150109556483","Article"
"The 1999 Samuel T. Orton Award presented to Howard Gardner","Annals of Dyslexia","","50","1","10.1007/s11881-000-0014-6","Leonore Ganschow","2000","http://link.springer.com/article/10.1007/s11881-000-0014-6","Article"
"An Holistic Approach for Counsellors: Embracing Multiple Intelligences","International Journal for the Advancement of Counselling","","30","2","10.1007/s10447-008-9046-0","Rosslyn BoothPatrick John O’Brien","2008","http://link.springer.com/article/10.1007/s10447-008-9046-0","Article"
"Students’ multiple intelligences in video-assisted learning environments","Journal of Computers in Education","","5","3","10.1007/s40692-018-0107-z","Karim HajhashemiNerina J. CaltabianoNeil AndersonSeyed Asadollah Tabibzadeh","2018","http://link.springer.com/article/10.1007/s40692-018-0107-z","Article"
"Does Spiritual Intelligence (SI) Exist? A Theoretical Investigation of a Tool Useful for Finding the Meaning of Life","Journal of Religion and Health","","60","1","10.1007/s10943-020-01005-8","Katarzyna Skrzypińska","2021","http://link.springer.com/article/10.1007/s10943-020-01005-8","Article"
"‹Loving the Distance Between Them:’ Thinking Beyond Howard Gardner’s 
“Five Minds for the Future”","Journal of Business Ethics","","83","2","10.1007/s10551-007-9619-6","Moses L. Pava","2008","http://link.springer.com/article/10.1007/s10551-007-9619-6","Article"
"Using Multiple Intelligences to Improve Negotiation Theory and Practice","Negotiation Journal","","16","4","10.1023/A:1026628603350","Howard Gardner","2000","http://link.springer.com/article/10.1023/A%3A1026628603350","Article"
"Job Competencies and the Curriculum: An Inquiry into Emotional Intelligence in Graduate Professional Education","Research in Higher Education","","44","6","10.1023/A:1026119724265","Audrey J. Jaeger","2003","http://link.springer.com/article/10.1023/A%3A1026119724265","Article"
"The effects of the cooperative learning method supported by multiple intelligence theory on Turkish elementary students’ mathematics achievement","Asia Pacific Education Review","","10","4","10.1007/s12564-009-9049-5","Dilek IşıkKamuran Tarım","2009","http://link.springer.com/article/10.1007/s12564-009-9049-5","Article"
"Adopting a musical intelligence and e-Learning approach to improve the English language pronunciation of Chinese students","AI & SOCIETY","","29","2","10.1007/s00146-013-0479-6","Luqi WuMichael McMahon","2014","http://link.springer.com/article/10.1007/s00146-013-0479-6","Article"
"Development of an artificial intelligence based model for predicting the euploidy of blastocysts in PGT-A treatments","Scientific Reports","","13","1","10.1038/s41598-023-29319-z","Zhenya YuanMu YuanXuemei SongXiaojie HuangWeiqiao Yan","2023","http://link.springer.com/article/10.1038/s41598-023-29319-z","Article"
"ID model construction and validation: a multiple intelligences case","Educational Technology Research and Development","","55","4","10.1007/s11423-006-9015-4","Monica W. TraceyRita C. Richey","2007","http://link.springer.com/article/10.1007/s11423-006-9015-4","Article"
"Theory of Multiple Intelligences: Implications for Higher Education","Innovative Higher Education","","26","2","10.1023/A:1012292522528","Adrianna Kezar","2001","http://link.springer.com/article/10.1023/A%3A1012292522528","Article"
"Metacognition and Multiplicity: The Arts as Models and Agents","Educational Psychology Review","","12","3","10.1023/A:1009022123211","Jessica Hoffmann Davis","2000","http://link.springer.com/article/10.1023/A%3A1009022123211","Article"
"Professional competencies in health sciences education: from multiple intelligences to the clinic floor","Advances in Health Sciences Education","","15","1","10.1007/s10459-009-9172-4","India F. Lane","2010","http://link.springer.com/article/10.1007/s10459-009-9172-4","Article"
"Theories of Independent Intelligences as a Lakatosian Research Program","Philosophia","","50","5","10.1007/s11406-022-00565-1","Jonathan Egeland","2022","http://link.springer.com/article/10.1007/s11406-022-00565-1","Article"
"A philosophical view on singularity and strong AI","AI & SOCIETY","","38","4","10.1007/s00146-021-01327-5","Christian Hugo Hoffmann","2023","http://link.springer.com/article/10.1007/s00146-021-01327-5","Article"
"The Effect of Object-Free and Object-Related Intelligences on Hands-On Making Self-Efficacy and Attitude Toward Quality Improvement","International Journal of Science and Mathematics Education","","19","4","10.1007/s10763-020-10093-7","Jon-Chao HongMing-Yueh HwangChi-Ruei Tsai","2021","http://link.springer.com/article/10.1007/s10763-020-10093-7","Article"
"Street smarts","Synthese","","199","1 - 2","10.1007/s11229-020-02641-z","Devin Sanchez Curry","2021","http://link.springer.com/article/10.1007/s11229-020-02641-z","Article"
"Might Outdoor Education Help Develop Intelligence?","Journal of Outdoor and Environmental Education","","6","2","10.1007/BF03400750","Rob Hogan","2002","http://link.springer.com/article/10.1007/BF03400750","Article"
"The relationship between visual memory and spatial intelligence with students’ academic achievement in anatomy","BMC Medical Education","","23","1","10.1186/s12909-023-04327-9","Amin AspananiHosein SadeqhiAthar Omid","2023","http://link.springer.com/article/10.1186/s12909-023-04327-9","Article"
"Raising the Achievement of All Students: Teaching for Successful Intelligence","Educational Psychology Review","","14","4","10.1023/A:1020601027773","Robert J. Sternberg","2002","http://link.springer.com/article/10.1023/A%3A1020601027773","Article"
"The Relation Between the Time Mothers and Children Spent Together and the Children’s Trait Emotional Intelligence","Child & Youth Care Forum","","41","5","10.1007/s10566-012-9180-z","Albert Alegre","2012","http://link.springer.com/article/10.1007/s10566-012-9180-z","Article"
"A teaching management system for physical education in colleges and universities using the theory of multiple intelligences and SVM","Soft Computing","","28","1","10.1007/s00500-023-09419-8","Jia DingYing Su","2024","http://link.springer.com/article/10.1007/s00500-023-09419-8","Article"
"Can serious games measure your cognitive profile in adults? An innovative proposal to evaluate and stimulate cognitive skills","Universal Access in the Information Society","","23","1","10.1007/s10209-022-00924-5","Pablo GarmenDébora ArecesTrinidad GarcíaJuan Carlos San-PedroCelestino Rodríguez","2024","http://link.springer.com/article/10.1007/s10209-022-00924-5","Article"
"The relationships between creativity, drawing ability, and visual/spatial intelligence: A study of taiwan’s third-grade children","Asia Pacific Education Review","","8","3","10.1007/BF03026464","Li-Ming Liu","2007","http://link.springer.com/article/10.1007/BF03026464","Article"
"Orson Scott Card’s Ender and Bean: The Exceptional Child as Hero","Children's Literature in Education","","35","4","10.1007/s10583-004-6415-0","Christine Doyle","2004","http://link.springer.com/article/10.1007/s10583-004-6415-0","Article"
"Relationship Between Emotional Intelligence and Transformational Leadership Style: A Gender Comparison","Journal of Business and Psychology","","17","3","10.1023/A:1022816409059","Barbara MandellShilpa Pherwani","2003","http://link.springer.com/article/10.1023/A%3A1022816409059","Article"
"Science Is Not Always “Self-Correcting”","Foundations of Science","","21","3","10.1007/s10699-015-9421-3","Nathan Cofnas","2016","http://link.springer.com/article/10.1007/s10699-015-9421-3","Article"
"Using the Multiple Intelligences to Enhance Instruction  for Young Children and Young Children with Disabilities","Early Childhood Education Journal","","32","4","10.1007/s10643-004-0865-2","Michael Rettig","2005","http://link.springer.com/article/10.1007/s10643-004-0865-2","Article"
"State-of-the-Art Ontology Annotation for Personalised Teaching and Learning and Prospects for Smart Learning Recommender Based on Multiple Intelligence and Fuzzy Ontology","International Journal of Fuzzy Systems","","20","4","10.1007/s40815-018-0467-6","Pornpit WongthongthamKit Yan ChanVidyasagar PotdarBilal Abu-SalihSophia GaikwadPratima Jain","2018","http://link.springer.com/article/10.1007/s40815-018-0467-6","Article"
"Computational intelligence and soft computing: some thoughts on already explored and not yet explored paths","International Journal of Computational Intelligence Systems","","3","2","10.2991/ijcis.2010.3.2.10","Janusz Kacprzyk","2010","http://link.springer.com/article/10.2991/ijcis.2010.3.2.10","Article"
"Feelings in Moral Conflict and the Hazards of Emotional Intelligence","Ethical Theory and Moral Practice","","5","1","10.1023/A:1014434021266","David Carr","2002","http://link.springer.com/article/10.1023/A%3A1014434021266","Article"
"Intelligence and creativity: a complex but important relationship","Asia Pacific Education Review","","16","2","10.1007/s12564-015-9374-9","Jonathan A. PluckerAmber Esping","2015","http://link.springer.com/article/10.1007/s12564-015-9374-9","Article"
"Emotional Intelligence as the Core of Intelligence: A Perspective Based on the Bhagavad Gita","Pastoral Psychology","","72","1","10.1007/s11089-022-01032-0","Shweta Vishnu LambaMadhu JagadeeshAbhijit Deshpande","2023","http://link.springer.com/article/10.1007/s11089-022-01032-0","Article"
"Is There a General Factor of Spiritual Intelligence? Factorial Validity of the Polish Adaptation of Spiritual Intelligence Self-Report Inventory","Journal of Religion and Health","","60","5","10.1007/s10943-021-01350-2","Paweł A. AtroszkoKatarzyna SkrzypińskaJulia M. Balcerowska","2021","http://link.springer.com/article/10.1007/s10943-021-01350-2","Article"
"A decision support system based on an artificial multiple intelligence system for vegetable crop land allocation problem","Annals of Operations Research","","342","1","10.1007/s10479-023-05398-z","Rapeepan PitakasoKanchana SethananKim Hua TanAjay Kumar","2024","http://link.springer.com/article/10.1007/s10479-023-05398-z","Article"
"Transformational leadership and emotional intelligence: allies in the development of organizational affective commitment from a multilevel perspective and time-lagged data","Review of Managerial Science","","18","8","10.1007/s11846-023-00684-3","Manuel Pulido-MartosLeire GartziaJosé María Augusto-LandaEsther Lopez-Zafra","2024","http://link.springer.com/article/10.1007/s11846-023-00684-3","Article"
"The triarchic theory of intelligence and computer-based inquiry learning","Educational Technology Research and Development","","49","4","10.1007/BF02504947","Bruce C. HowardSteven McGeeNamsoo ShinRegina Shia","2001","http://link.springer.com/article/10.1007/BF02504947","Article"
"Multidimensional Trait Emotional Intelligence and Aggressive Tendencies in Male Offenders of Domestic Violence","Journal of Family Violence","","30","6","10.1007/s10896-015-9729-3","Anna E. JaffeDaniel V. SimonetRobert P. TettRachael M. SwopesJoanne L. Davis","2015","http://link.springer.com/article/10.1007/s10896-015-9729-3","Article"
"Gender Differences in Measured and Self-Estimated Trait Emotional Intelligence","Sex Roles","","42","5 - 6","10.1023/A:1007006523133","K. V. PetridesAdrian Furnham","2000","http://link.springer.com/article/10.1023/A%3A1007006523133","Article"
"The theory of multiple stupidities: education, technology and organisation in Arabia","Cognitive Processing","","18","4","10.1007/s10339-017-0816-7","Abdulrahman Essa Al LilyAhmed Ali AlhazmiSaleh Alzahrani","2017","http://link.springer.com/article/10.1007/s10339-017-0816-7","Article"
"Abstracts from the 2024 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","39","2","10.1007/s11606-024-08797-5","","2024","http://link.springer.com/article/10.1007/s11606-024-08797-5","Article"
"African parents’ estimates of their own and their children’s multiple intelligences","Current Psychology","","22","4","10.1007/s12144-004-1034-x","Adrian FurnhamAdebowale Akande","2004","http://link.springer.com/article/10.1007/s12144-004-1034-x","Article"
"67TH ASMS Conference on Mass Spectrometry and Allied Topics","Journal of The American Society for Mass Spectrometry","","30","1","10.1007/s13361-019-02232-4","","2019","http://link.springer.com/article/10.1007/s13361-019-02232-4","Article"
"The role of intelligences in teams: a systematic literature review","Review of Managerial Science","","18","1","10.1007/s11846-023-00672-7","Mahboobeh DavaeiMarjaana Gunkel","2024","http://link.springer.com/article/10.1007/s11846-023-00672-7","Article"
"The transition of object to mental manipulation: beyond a species-specific view of intelligence","Animal Cognition","","23","4","10.1007/s10071-020-01375-2","Moran Bar-Hen-SchweigerAvishai Henik","2020","http://link.springer.com/article/10.1007/s10071-020-01375-2","Article"
"Emotional Intelligence of Foreign and Local University Students in Singapore: Implications for Managers","Journal of Business and Psychology","","17","3","10.1023/A:1022812308150","James Poon Teng FattIrene Chew Keng Howe","2003","http://link.springer.com/article/10.1023/A%3A1022812308150","Article"
"The importance of emotional intelligence in higher education","Current Psychology","","25","1","10.1007/s12144-006-1011-7","Debra J. Vandervoort","2006","http://link.springer.com/article/10.1007/s12144-006-1011-7","Article"
"Enhancing children’s intelligence: Do the means matter morally?","Monash Bioethics Review","","26","1 - 2","10.1007/BF03351468","Kara WoolleyMerle Spriggs","2007","http://link.springer.com/article/10.1007/BF03351468","Article"
"Androgyny, Gender Role Behavior, and Emotional Intelligence Among College Students and Their Parents","Sex Roles","","49","11 - 12","10.1023/B:SERS.0000003136.67714.04","Denise D. GuastelloStephen J. Guastello","2003","http://link.springer.com/article/10.1023/B%3ASERS.0000003136.67714.04","Article"
"Theme-Park Psychology: A Case Study Regarding Human Intelligence and Its Implications for Education","Educational Psychology Review","","12","2","10.1023/A:1009079500495","Robert J. SternbergElena L. Grigorenko","2000","http://link.springer.com/article/10.1023/A%3A1009079500495","Article"
